what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455693093282
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455693114537
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455693119568
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455693120874
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455693127064
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455693158548
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455693159852
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455693222409
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455693229714
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455693233788
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455693506676
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455693524766
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455693594037
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1455693595820
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455693611331
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455693618411
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455693654033
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455693655698
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1455693665703
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455693671597
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1455693685257
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1455693685633
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1455693686354
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1455693686833
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1455693692249
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455693697304
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1455693703640
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455693708391
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455693709463
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455693734268
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455693757091
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455693760541
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455693817626
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455693819449
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455693973042
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455693982263
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455693988925
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1455693995056
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455694002368
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1455694056180
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455694059507
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1455694065297
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455694070462
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455694071673
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455694086409
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455694212528
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1455694227725
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455694232573
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455694234175
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455694236361
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455694264682
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455694275181
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455694298371
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455694300288
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455695032896
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455695041004
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455695042974
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455695049247
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455695105990
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455695109933
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455695782497
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455695802096
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455695803886
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455695842690
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455695851031
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455705193047
closed,editor,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.editor",1455705195366
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455705200300
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455705203552
closed,editor,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.editor",1455705204833
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455705213127
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455705321433
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1455705321441
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455705330610
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.restartWorkbench",1455705331288
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090610-1638,"org.eclipse.dltk.testing",1455705331447
stopped,bundle,org.eclipse.dltk.debug.ui,1.0.1.v20091111-1837,"org.eclipse.dltk.debug.ui",1455705331500
stopped,bundle,org.eclipse.dltk.formatter,1.0.1.v20090903-2153,"org.eclipse.dltk.formatter",1455705331526
stopped,bundle,org.eclipse.dltk.rse.ui,1.0.0.v20090610-1638,"org.eclipse.dltk.rse.ui",1455705331545
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.externalchecker",1455705331546
stopped,bundle,org.eclipse.dltk.validators.ui,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.ui",1455705331546
stopped,bundle,org.eclipse.php.server.ui,2.1.1.v20090707-1108,"org.eclipse.php.server.ui",1455705331546
stopped,bundle,org.eclipse.php.debug.ui,2.1.1.v20090921-1100,"org.eclipse.php.debug.ui",1455705331546
stopped,bundle,org.eclipse.php.debug.core,2.1.1.v20090921-1100,"org.eclipse.php.debug.core",1455705331546
stopped,bundle,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.ui",1455705331546
stopped,bundle,org.eclipse.dltk.ui,1.0.2.v20100209-1928,"org.eclipse.dltk.ui",1455705331546
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.jaxp.debug.ui",1455705331580
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1455705331581
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1455705331581
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1455705331596
stopped,bundle,org.eclipse.mylyn.ide.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ui",1455705331625
stopped,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1455705331625
stopped,bundle,org.eclipse.mylyn.resources.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.resources.ui",1455705331642
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.1.3.v20100217-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1455705331677
stopped,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1455705331677
stopped,bundle,org.eclipse.mylyn.help.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.help.ui",1455705331702
